strategy,return_type,transaction_cost_rate,months,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,win_rate,average_turnover,final_wealth
ai_high_risk,gross,0.0,28,0.5055136659691526,0.19165512908035742,0.10119147215959429,1.8939849869768497,2.999933238867246,-0.08364378870681555,0.7857142857142857,1.0357142857142858,1.5055136659691526
ai_high_risk,net,0.005,28,0.303642380283631,0.12034977232970068,0.10407085746543109,1.1564214541969822,1.7162113371784489,-0.10858497371977205,0.6785714285714286,1.0357142857142858,1.303642380283631
ai_low_risk,gross,0.0,28,0.5801510685653397,0.21662446887398978,0.07300944712658301,2.9670745006246735,6.739742335874743,-0.032151613235979704,0.75,0.6901124217974507,1.5801510685653397
ai_low_risk,net,0.005,28,0.4361734650420588,0.1678159028866837,0.07489965335819486,2.240543118192185,4.990788492428754,-0.05663506936965956,0.6785714285714286,0.6901124217974507,1.4361734650420588
ai_medium_risk,gross,0.0,28,0.5666310838859994,0.21215225556602824,0.09248727926543354,2.2938533520611264,6.206906376292511,-0.05984666050402554,0.8571428571428571,0.911634061307657,1.5666310838859994
ai_medium_risk,net,0.005,28,0.3808357390905084,0.1483145436556741,0.09398155511119628,1.5781239571976924,2.016181044497703,-0.07523697703252674,0.75,0.911634061307657,1.3808357390905084
equal_weight_6etf,gross,0.0,28,0.5123022682954006,0.1939550394496059,0.0764722675788458,2.5362794329281635,4.029337816681442,-0.0419901559750238,0.8214285714285714,0.0357142857142857,1.5123022682954006
equal_weight_6etf,net,0.005,28,0.5049365943876956,0.1914593499676904,0.0762084904529783,2.5123099648040306,3.977490872994326,-0.0419901559750238,0.8214285714285714,0.0357142857142857,1.5049365943876956
pto_markowitz,gross,0.0,28,0.453675968499093,0.1738942520675779,0.1085512294071372,1.6019556205610732,2.595045425533521,-0.1281393940957678,0.7142857142857143,1.2639218404355954,1.453675968499093
pto_markowitz,net,0.005,28,0.2200273180179834,0.0889690173455712,0.1083844411877132,0.8208652124845487,1.1988402702163674,-0.1589567834509886,0.6428571428571429,1.2639218404355954,1.2200273180179837
spo_plus,gross,0.0,28,0.8687817127407726,0.3073210277206528,0.1782174528063722,1.724416003490678,3.7998946488513714,-0.0890898950782638,0.7142857142857143,1.3214285714285714,1.8687817127407729
spo_plus,net,0.005,28,0.5563083394972894,0.2087227738636534,0.1814412648981292,1.1503600020692182,2.364286415128704,-0.1080817654718677,0.6785714285714286,1.3214285714285714,1.5563083394972894
spo_plus_fee,gross,0.0,28,0.8687817127407618,0.3073210277206495,0.1782174528063691,1.724416003490689,3.7998946488514,-0.0890898950782631,0.7142857142857143,1.3214285714285527,1.8687817127407615
spo_plus_fee,net,0.005,28,0.5563083394972841,0.2087227738636516,0.1814412648981262,1.1503600020692273,2.3642864151287304,-0.1080817654718671,0.6785714285714286,1.3214285714285527,1.556308339497284
spo_plus_turnover_l2,gross,0.0,28,1.2906121251622171,0.4264775867092674,0.1763286795308604,2.418651281481562,4.55418528772088,-0.0638098195195198,0.7857142857142857,0.7499999999999979,2.2906121251622173
spo_plus_turnover_l2,net,0.005,28,1.063635362812926,0.3640889715896516,0.1815979607172298,2.0049177322898606,3.6200012592686326,-0.0738098195195195,0.75,0.7499999999999979,2.063635362812926
spy_buy_hold,gross,0.0,28,0.5633542726707772,0.2110650170832078,0.1380742773725758,1.528633870838054,2.410009588787554,-0.1068518444448207,0.6785714285714286,0.0357142857142857,1.5633542726707772
spy_buy_hold,net,0.005,28,0.555994298448174,0.2086182378981433,0.137383579461474,1.518509262285202,2.3820714615737657,-0.1068518444448208,0.6785714285714286,0.0357142857142857,1.555994298448174
