ticker,first_date,last_date,price_rows,missing_adj_close,non_positive_adj_close,daily_return_rows,missing_daily_returns,extreme_abs_return_gt_20pct,max_abs_daily_return,min_adj_close,max_adj_close,period_total_return,period_max_drawdown
SPY,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.1094239831468371,204.94488525390625,756.47998046875,2.197806510946643,-0.33717259886422946
QQQ,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.12003069035612302,137.1633758544922,738.3099975585938,3.9147872617054817,-0.35118741443757395
TLT,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.0751955066301655,73.97489166259766,143.2266082763672,-0.13455832054755346,-0.4835115307634934
GLD,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.10274245274560045,111.0999984741211,495.8999938964844,2.332960367810576,-0.22002168134715383
VNQ,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.17727747235225222,45.223976135253906,98.08367919921875,0.5904675840978981,-0.4239818639126828
DBC,2018-01-02,2026-05-29,2113,0,0,2112,1,0,0.07944429064906289,9.13644790649414,31.690000534057617,1.0892458585654734,-0.4171107780714993
