date,strategy,ticker,weight,predicted_return_21d,actual_future_return_21d,strategy_note
2024-01-31,pto_markowitz,SPY,0.0,-0.02408461831510067,0.06206504628062248,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,pto_markowitz,QQQ,0.9999999999999967,0.02712397091090679,0.06868608295917511,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,pto_markowitz,TLT,0.0,-0.024822020903229713,-0.016431229189038277,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,pto_markowitz,GLD,2.1371793224034192e-15,0.0037327243480831385,0.02356063947081566,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,pto_markowitz,VNQ,1.1934897514720393e-15,-0.009619692340493202,0.03194665536284447,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,pto_markowitz,DBC,0.0,-0.007960062474012375,-0.01030009426176548,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-01-31,spo_plus,SPY,0.0,-1.0917435884475708,0.06206504628062248,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus,QQQ,1.0,1.467496633529663,0.06868608295917511,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus,TLT,0.0,-0.6583914756774902,-0.016431229189038277,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus,GLD,0.0,0.5473217964172363,0.02356063947081566,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus,VNQ,0.0,-0.6654185056686401,0.03194665536284447,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus,DBC,0.0,-0.2028214931488037,-0.01030009426176548,PyEPO SPO+ loss with MaxReturn optimizer
2024-01-31,spo_plus_fee,SPY,0.0,-1.0917435884475708,0.06206504628062248,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_fee,QQQ,1.0,1.467496633529663,0.06868608295917511,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_fee,TLT,0.0,-0.6583914756774902,-0.016431229189038277,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_fee,GLD,0.0,0.5473217964172363,0.02356063947081566,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_fee,VNQ,0.0,-0.6654185056686401,0.03194665536284447,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_fee,DBC,0.0,-0.2028214931488037,-0.01030009426176548,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2024-01-31,spo_plus_turnover_l2,SPY,5.667944407477753e-15,-1.0917435884475708,0.06206504628062248,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,spo_plus_turnover_l2,QQQ,0.9999999999999822,1.467496633529663,0.06868608295917511,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,spo_plus_turnover_l2,TLT,3.629422565333697e-15,-0.6583914756774902,-0.016431229189038277,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,spo_plus_turnover_l2,GLD,1.4710455076283324e-15,0.5473217964172363,0.02356063947081566,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,spo_plus_turnover_l2,VNQ,3.517824662785449e-15,-0.6654185056686401,0.03194665536284447,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,spo_plus_turnover_l2,DBC,3.4587071207940468e-15,-0.2028214931488037,-0.01030009426176548,PyEPO SPO+ loss with turnover and L2 weight regularization
2024-01-31,equal_weight_6etf,SPY,0.16666666666666666,,0.06206504628062248,benchmark
2024-01-31,equal_weight_6etf,QQQ,0.16666666666666666,,0.06868608295917511,benchmark
2024-01-31,equal_weight_6etf,TLT,0.16666666666666666,,-0.016431229189038277,benchmark
2024-01-31,equal_weight_6etf,GLD,0.16666666666666666,,0.02356063947081566,benchmark
2024-01-31,equal_weight_6etf,VNQ,0.16666666666666666,,0.03194665536284447,benchmark
2024-01-31,equal_weight_6etf,DBC,0.16666666666666666,,-0.01030009426176548,benchmark
2024-01-31,spy_buy_hold,SPY,1.0,,0.06206504628062248,benchmark
2024-01-31,spy_buy_hold,QQQ,0.0,,0.06868608295917511,benchmark
2024-01-31,spy_buy_hold,TLT,0.0,,-0.016431229189038277,benchmark
2024-01-31,spy_buy_hold,GLD,0.0,,0.02356063947081566,benchmark
2024-01-31,spy_buy_hold,VNQ,0.0,,0.03194665536284447,benchmark
2024-01-31,spy_buy_hold,DBC,0.0,,-0.01030009426176548,benchmark
2024-02-29,pto_markowitz,SPY,3.236759201264262e-15,-0.008255070075392723,0.03090495616197586,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-02-29,pto_markowitz,QQQ,0.7006289015536185,0.027659546583890915,0.01489377859979868,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-02-29,pto_markowitz,TLT,4.665181521131522e-17,-0.016479674726724625,-0.010958541184663773,PtO Ridge prediction with Markowitz max-Sharpe optimization
2024-02-29,pto_markowitz,GLD,0.25728576075211457,0.011448146775364876,0.09777618944644928,PtO Ridge prediction with Markowitz max-Sharpe optimization
