epoch,train_loss,valid_mse,valid_rank_ic
1,1.5926944613456726,0.20755280554294586,-0.14285714285714288
20,0.027553360909223557,0.4269584119319916,-0.11904761904761907
40,0.018254318740218878,0.425921231508255,0.009523809523809545
60,0.030386528000235558,0.5595368146896362,-0.057142857142857134
80,0.062364112585783005,0.7194435596466064,-0.12380952380952381
100,0.019870142452418804,0.614776611328125,-0.12380952380952381
120,0.013222242938354611,0.5032395124435425,-0.1714285714285714
140,0.019894328666850924,0.45257166028022766,-0.12380952380952383
160,0.06390903331339359,1.0650181770324707,-0.07142857142857144
180,0.05525200301781297,1.4364522695541382,-0.2523809523809524
200,0.024871664121747017,0.9567966461181641,-0.18095238095238098
220,0.01927401451393962,0.7924944758415222,-0.1523809523809524
240,0.1715449895709753,2.0190365314483643,-0.20476190476190473
