,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ,DBC,GLD,QQQ,SPY,TLT,VNQ
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,14.110353469848633,125.1500015258789,150.22218322753906,236.56222534179688,98.7056655883789,60.17100143432617,16.690000534057617,125.1500015258789,158.49000549316406,268.7699890136719,125.48999786376953,82.66999816894531,16.719999313354492,125.18000030517578,158.52999877929688,268.80999755859375,126.51000213623047,83.16999816894531,16.639999389648438,124.38999938964844,156.1699981689453,267.3999938964844,125.06999969482422,82.4000015258789,16.68000030517578,124.66000366210938,156.55999755859375,267.8399963378906,126.48999786376953,83.04000091552734,3995700,11762500,32573300,86655700,16238200,4639500
2018-01-03,14.19489860534668,124.81999969482422,151.68182373046875,238.05848693847656,99.17759704589844,59.9963264465332,16.790000915527344,124.81999969482422,160.02999877929688,270.4700012207031,126.08999633789062,82.43000030517578,16.809999465942383,125.08999633789062,160.1699981689453,270.6400146484375,126.19999694824219,82.93000030517578,16.700000762939453,124.0999984741211,158.61000061035156,268.9599914550781,125.48999786376953,82.26000213623047,16.739999771118164,125.05000305175781,158.63999938964844,268.9599914550781,126.0,82.7300033569336,6139800,7904300,29383600,90070400,8605100,5516900
2018-01-04,14.177989959716797,125.45999908447266,151.94720458984375,239.06178283691406,99.161865234375,58.962764739990234,16.770000457763672,125.45999908447266,160.30999755859375,271.6099853515625,126.06999969482422,81.01000213623047,16.799999237060547,125.8499984741211,160.7899932861328,272.1600036621094,126.16000366210938,82.4800033569336,16.739999771118164,124.73999786376953,160.0800018310547,270.5400085449219,125.37000274658203,80.98999786376953,16.780000686645508,124.88999938964844,160.5800018310547,271.20001220703125,125.6500015258789,82.44999694824219,2532700,7329700,24776100,80636400,9217900,4734100
2018-01-05,14.1272611618042,125.33000183105469,153.47323608398438,240.65493774414062,98.87872314453125,58.99187088012695,16.709999084472656,125.33000183105469,161.9199981689453,273.4200134277344,125.70999908447266,81.05000305175781,16.729999542236328,125.4800033569336,162.02999877929688,273.55999755859375,126.18000030517578,81.2300033569336,16.649999618530273,124.83000183105469,160.77000427246094,271.95001220703125,125.36000061035156,80.83999633789062,16.700000762939453,124.93000030517578,161.07000732421875,272.510009765625,125.87000274658203,81.16999816894531,1746400,5739900,26992300,83524000,10915400,5742900
2018-01-08,14.118809700012207,125.30999755859375,154.07032775878906,241.094970703125,98.8158187866211,59.297569274902344,16.700000762939453,125.30999755859375,162.5500030517578,273.9200134277344,125.62999725341797,81.47000122070312,16.719999313354492,125.31999969482422,162.6300048828125,274.1000061035156,126.02999877929688,81.61000061035156,16.649999618530273,124.9000015258789,161.86000061035156,272.9800109863281,125.16999816894531,81.04000091552734,16.700000762939453,125.19999694824219,161.9199981689453,273.30999755859375,125.98999786376953,81.16000366210938,2208000,3566700,23159100,57319200,8850600,4763200
2018-01-09,14.21180534362793,124.7300033569336,154.07981872558594,241.6406707763672,97.49433135986328,58.53334045410156,16.809999465942383,124.7300033569336,162.55999755859375,274.5400085449219,123.94999694824219,80.41999816894531,16.860000610351562,124.86000061035156,163.0399932861328,275.25,124.83000183105469,81.7300033569336,16.670000076293945,124.2300033569336,162.07000732421875,274.0799865722656,123.80999755859375,80.38999938964844,16.700000762939453,124.48999786376953,162.8699951171875,274.3999938964844,124.80999755859375,81.5,5148000,9153600,24782400,57254000,16226400,4631000
2018-01-10,14.262533187866211,125.02999877929688,153.71963500976562,241.27113342285156,97.3763656616211,57.878265380859375,16.8700008392334,125.02999877929688,162.17999267578125,274.1199951171875,123.80000305175781,79.5199966430664,16.889999389648438,125.30999755859375,162.2100067138672,274.4200134277344,123.93000030517578,80.2300033569336,16.81999969482422,124.72000122070312,161.1199951171875,272.9200134277344,122.66000366210938,79.11000061035156,16.8700008392334,125.16999816894531,161.83999633789062,273.67999267578125,122.80999755859375,80.0999984741211,2467700,14809300,34004000,69574300,14302600,6244400
2018-01-11,14.254080772399902,125.44000244140625,154.771728515625,243.0313720703125,97.77753448486328,57.6817512512207,16.860000610351562,125.44000244140625,163.2899932861328,276.1199951171875,124.30999755859375,79.25,16.940000534057617,125.66000366210938,163.3000030517578,276.1199951171875,124.58999633789062,79.93000030517578,16.860000610351562,125.25,162.2100067138672,274.55999755859375,123.30999755859375,79.16999816894531,16.889999389648438,125.37000274658203,162.4600067138672,274.75,123.51000213623047,79.70999908447266,3052900,5994700,20473500,62361500,12511000,5067100
2018-01-12,14.347076416015625,126.95999908447266,155.90911865234375,244.61569213867188,97.94270324707031,57.2159423828125,16.969999313354492,126.95999908447266,164.49000549316406,277.9200134277344,124.5199966430664,78.61000061035156,16.969999313354492,127.12999725341797,164.66000366210938,278.1099853515625,124.79000091552734,79.23999786376953,16.84000015258789,125.80999755859375,162.94000244140625,276.0799865722656,123.91000366210938,78.47000122070312,16.889999389648438,126.01000213623047,163.14999389648438,276.4200134277344,124.0999984741211,79.02999877929688,7625800,9258600,37762700,90816100,9987100,5154600
2018-01-16,14.279438972473145,127.16999816894531,155.4636688232422,243.77951049804688,98.35169219970703,57.32511520385742,16.889999389648438,127.16999816894531,164.02000427246094,276.9700012207031,125.04000091552734,78.76000213623047,16.93000030517578,127.18000030517578,166.4199981689453,280.0899963378906,125.27999877929688,80.02999877929688,16.84000015258789,126.4000015258789,163.52999877929688,276.17999267578125,124.55999755859375,78.73999786376953,16.899999618530273,126.5999984741211,165.5800018310547,279.3500061035156,125.16999816894531,78.9000015258789,2398900,8083900,41231800,106555100,9125900,5760800
2018-01-17,14.296348571777344,126.13999938964844,157.14132690429688,246.10316467285156,98.21802520751953,57.72541427612305,16.90999984741211,126.13999938964844,165.7899932861328,279.6099853515625,124.87000274658203,79.30999755859375,16.93000030517578,127.22000122070312,166.0399932861328,280.04998779296875,125.63999938964844,79.4000015258789,16.850000381469727,125.9000015258789,164.0,276.9700012207031,124.5999984741211,78.69999694824219,16.8799991607666,126.7699966430664,164.8000030517578,278.0299987792969,125.08000183105469,79.08999633789062,2351900,10130500,33849900,113258800,8327000,5560300
2018-01-18,14.296348571777344,125.86000061035156,157.16981506347656,245.68946838378906,97.30554962158203,56.983036041259766,16.90999984741211,125.86000061035156,165.82000732421875,279.1400146484375,123.70999908447266,78.29000091552734,16.920000076293945,126.5199966430664,166.1999969482422,279.9599914550781,124.2699966430664,79.0999984741211,16.829999923706055,125.80000305175781,165.13999938964844,278.5799865722656,123.54000091552734,78.22000122070312,16.90999984741211,126.12999725341797,165.52999877929688,279.4800109863281,123.93000030517578,79.01000213623047,1805400,6289300,26432200,100728000,10843900,4548200
2018-01-19,14.270986557006836,126.41999816894531,157.66261291503906,246.8072967529297,96.7943115234375,57.288726806640625,16.8799991607666,126.41999816894531,166.33999633789062,280.4100036621094,123.05999755859375,78.70999908447266,16.93000030517578,126.7300033569336,166.61000061035156,280.4100036621094,123.55999755859375,78.72000122070312,16.81999969482422,126.41000366210938,165.5399932861328,279.1400146484375,122.9800033569336,78.19999694824219,16.8799991607666,126.56999969482422,166.30999755859375,279.79998779296875,123.4000015258789,78.41999816894531,1306200,8773800,38937600,140920100,11374300,4546800
2018-01-22,14.304803848266602,126.6500015258789,159.3498077392578,248.8140869140625,96.88872528076172,57.81277084350586,16.920000076293945,126.6500015258789,168.1199951171875,282.69000244140625,123.18000030517578,79.43000030517578,16.950000762939453,126.75,168.1199951171875,282.69000244140625,123.70999908447266,79.47000122070312,16.84000015258789,126.27999877929688,166.08999633789062,280.1099853515625,122.98999786376953,78.73999786376953,16.889999389648438,126.51000213623047,166.27999877929688,280.1700134277344,123.44999694824219,78.83000183105469,3227700,4893500,26081400,91322400,8984700,4767400
2018-01-23,14.40626049041748,127.27999877929688,160.66725158691406,249.34214782714844,97.30554962158203,58.6134033203125,17.040000915527344,127.27999877929688,169.50999450683594,283.2900085449219,123.70999908447266,80.52999877929688,17.049999237060547,127.3499984741211,169.66000366210938,283.6199951171875,124.19999694824219,80.55000305175781,16.93000030517578,126.33999633789062,168.55999755859375,282.3699951171875,123.23999786376953,79.66000366210938,16.969999313354492,126.52999877929688,168.63999938964844,282.739990234375,123.80999755859375,79.79000091552734,2381700,6190400,37989700,97084700,12325700,4599700
2018-01-24,14.55843448638916,128.8300018310547,159.62464904785156,249.2453155517578,96.77855682373047,58.30769729614258,17.219999313354492,128.8300018310547,168.41000366210938,283.17999267578125,123.04000091552734,80.11000061035156,17.219999313354492,129.25999450683594,170.24000549316406,284.70001220703125,123.12999725341797,80.61000061035156,17.040000915527344,128.22999572753906,167.44000244140625,281.8399963378906,122.54000091552734,79.83000183105469,17.049999237060547,128.38999938964844,169.8699951171875,284.0199890136719,122.8499984741211,80.41999816894531,2814600,11827600,54287400,134816100,9038900,6242500
