Date,SPY,QQQ,TLT,GLD,VNQ,DBC
2018-01-02,236.56214904785156,150.22216796875,98.70567321777344,125.1500015258789,60.170982360839844,14.11035442352295
2018-01-03,238.05848693847656,151.6818084716797,99.1776123046875,124.81999969482422,59.996299743652344,14.194897651672363
2018-01-04,239.0618133544922,151.9471893310547,99.161865234375,125.45999908447266,58.9627685546875,14.177989959716797
2018-01-05,240.65496826171875,153.47315979003906,98.87870025634766,125.33000183105469,58.99186325073242,14.1272611618042
2018-01-08,241.09500122070312,154.07037353515625,98.81580352783203,125.30999755859375,59.297576904296875,14.118809700012207
2018-01-09,241.64071655273438,154.07986450195312,97.49437713623047,124.7300033569336,58.53334426879883,14.211806297302246
2018-01-10,241.2710723876953,153.71963500976562,97.37635803222656,125.02999877929688,57.87826156616211,14.262531280517578
2018-01-11,243.0314178466797,154.77171325683594,97.77752685546875,125.44000244140625,57.681758880615234,14.25407886505127
2018-01-12,244.61569213867188,155.90914916992188,97.94271087646484,126.95999908447266,57.21593475341797,14.347075462341309
2018-01-16,243.779541015625,155.46360778808594,98.35169982910156,127.16999816894531,57.32512283325195,14.279438972473145
2018-01-17,246.10308837890625,157.14132690429688,98.218017578125,126.13999938964844,57.72543716430664,14.29634952545166
2018-01-18,245.68951416015625,157.16978454589844,97.30557250976562,125.86000061035156,56.98302459716797,14.29634952545166
2018-01-19,246.80723571777344,157.6626434326172,96.7943344116211,126.41999816894531,57.2887077331543,14.27098560333252
2018-01-22,248.81402587890625,159.3497772216797,96.8886947631836,126.6500015258789,57.81276321411133,14.304802894592285
2018-01-23,249.34213256835938,160.66726684570312,97.30557250976562,127.27999877929688,58.61341094970703,14.406256675720215
2018-01-24,249.2454071044922,159.62464904785156,96.77859497070312,128.8300018310547,58.30772399902344,14.558435440063477
2018-01-25,249.35098266601562,159.56781005859375,97.57305908203125,127.97000122070312,58.205806732177734,14.473891258239746
2018-01-26,252.23793029785156,162.01316833496094,97.21119689941406,128.07000732421875,58.00199890136719,14.583800315856934
