date,ticker,split,is_month_end_sample,ret_5d,ret_20d,ret_60d,ret_120d,vol_20d,vol_60d,downside_vol_60d,drawdown_20d,drawdown_60d,ma_ratio_20_60,ma_ratio_60_120,volume_chg_20d,risk_adj_ret_20d,risk_adj_ret_60d,asset_mean_ret_60d,rank_ret_20d,rank_ret_60d,rank_vol_60d,rank_drawdown_60d,z_ret_20d,z_ret_60d,z_vol_60d
2018-07-31,DBC,train,True,0.009362208034531694,-0.0034662479877535235,-0.02487284536314005,0.042926032428722394,0.010802903194665592,0.009625285431899758,0.007072893519393633,-0.05068324819938452,-0.09451380613713845,-0.024489052637088782,0.01883600466667401,-0.003598544395018166,-0.32086263528355374,-2.5841150934295833,-0.00037378932697940657,0.6666666666666666,0.8333333333333334,1.0,1.0,-0.5015998215870577,-0.7747475767953091,1.5142305162605105
2018-07-31,GLD,train,True,-0.00043091219720192697,-0.01251490917896203,-0.06865266572108908,-0.07051849496911788,0.0055058382054631455,0.005049606664921346,0.0037842963901450304,-0.029374737349371793,-0.0761303623267583,-0.027899510427450314,-0.02253765420816478,-0.051808934545589325,-2.273025234658033,-13.595646211021949,-0.0011720969712986965,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,-0.9648943139604351,-1.5253759092178008,-1.108029728348011
2018-07-31,QQQ,train,True,-0.021353036502503087,0.02112289441866233,0.07252814421693365,0.10551463835099639,0.009933559265077253,0.008294208399136874,0.0049187203064775245,-0.042172579064100324,-0.042425977513230295,0.024392645971527793,0.030982549426445738,0.012692137165592143,2.126417516118585,8.74443234685075,0.0012015290119665322,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.7573725289464517,0.8952442547613132,0.7514080885334606
2018-07-31,SPY,train,True,-0.0009943064070349061,0.03483389655091296,0.062300826526102915,0.05998067343744018,0.0054425286206522495,0.005592871177890456,0.0030367570934066294,-0.014294796610991978,-0.02997452339470197,0.016225552485958694,0.016004012670126633,-0.11609947228636674,6.400314812995573,11.139328002473645,0.0010231689194717516,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,1.4593804435496691,0.7198914469915243,-0.7966921089009532
2018-07-31,TLT,train,True,0.00016735749633189911,-0.01359733072865299,0.010587408808080623,0.018481997131662764,0.005349024543450624,0.006096159863682625,0.0033035729840641364,-0.030142564761747037,-0.03014256476174726,0.010978276131611286,0.006576152918065015,-0.1520973509638086,-2.5420206279108664,1.7367341153820863,0.00019377739752351702,1.0,0.6666666666666666,0.5,0.3333333333333333,-1.020314660882619,-0.1667626367431697,-0.508264100833948
2018-07-31,VNQ,train,True,0.017888128203948694,0.011605052464866539,0.0699913998038193,0.12115749356704453,0.007738841592480963,0.007240160473336922,0.003995537204300368,-0.030354120565687204,-0.03577336622722804,0.027406094502245626,0.03657524859232031,0.01033848657940073,1.4995852190774877,9.667106145170967,0.0011539294404959634,0.5,0.3333333333333333,0.6666666666666666,0.5,0.2700558239339912,0.851750421003442,0.14734733328894206
2018-08-31,DBC,train,True,0.009877915764689549,0.012820498493502308,-0.02687565985649698,0.04761895048441822,0.008027330006004777,0.009992132587360042,0.007392097575860593,-0.04099307313525724,-0.0720669676034501,-0.008084397501680773,-0.006922742796930614,-0.24495445288587003,1.5971061964453985,-2.6896820695208197,-0.0004044642797028533,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,-0.10749230650361878,-0.7393371916819055,1.597112772326718
2018-08-31,GLD,train,True,-0.005693776322947319,-0.012269370476685748,-0.07610286853061676,-0.09755125427053202,0.007889628895730959,0.006248394444693479,0.004327877837852434,-0.0331564273480619,-0.09952989992432959,-0.028729918920557873,-0.03403331901735418,-0.0017017427880250402,-1.5551264373568503,-12.179587765181502,-0.001299138091188985,1.0,1.0,0.5,1.0,-1.6666395437008046,-1.5879182029379266,-0.28657707182577113
2018-08-31,QQQ,train,True,0.022851785074885056,0.03648395196486143,0.07234686927330825,0.09110101499613399,0.005645061886467618,0.008043064830516897,0.004951520770455113,-0.015327829079171407,-0.04242597751323007,0.020949989745201014,0.03907477348020438,-0.17038434776890987,6.462985295576832,8.994937974242188,0.0011967036923969557,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,1.3630139024467895,0.9710655789837355,0.616424754303257
2018-08-31,SPY,train,True,0.009738841305859891,0.023660265098157218,0.05135261424574966,0.05804232460491443,0.00451973141400057,0.004938906615243918,0.002812263509818784,-0.013306148560465414,-0.02997452339470208,0.020837591628828145,0.024576425799074597,-0.118622620262128,5.234882989919683,10.397567365872032,0.0008469740172848504,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5661179133660685,0.6091655923363406,-0.9454556662614609
