date,ticker,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d
2018-06-25,DBC,0.005223480114656676,4,0,0,1
2018-06-25,GLD,-0.02677453583129985,6,0,0,0
2018-06-25,QQQ,0.0668143985627867,1,1,1,1
2018-06-25,SPY,0.04800693990645377,2,1,1,1
2018-06-25,TLT,-0.008604329149171863,5,0,0,0
2018-06-25,VNQ,0.006949527751104689,3,1,0,1
2018-06-26,DBC,-0.004597607706248841,4,0,0,0
2018-06-26,GLD,-0.029263838928809127,6,0,0,0
2018-06-26,QQQ,0.04637653143180387,1,1,1,1
2018-06-26,SPY,0.04322531845506128,2,1,1,1
2018-06-26,TLT,-0.011903334056776127,5,0,0,0
2018-06-26,VNQ,0.007050721962934103,3,1,0,1
2018-06-27,DBC,-0.013722170074109252,4,0,0,0
2018-06-27,GLD,-0.023191094261560408,6,0,0,0
2018-06-27,QQQ,0.04648581829754561,1,1,1,1
2018-06-27,SPY,0.04481186337538334,2,1,1,1
2018-06-27,TLT,-0.019486402590265683,5,0,0,0
2018-06-27,VNQ,0.0001241506632161382,3,1,0,1
2018-06-28,DBC,-0.007437152489600751,3,1,0,0
2018-06-28,GLD,-0.02173912762888852,5,0,0,0
2018-06-28,QQQ,0.022898665782516092,2,1,1,1
2018-06-28,SPY,0.0334456293244898,1,1,1,1
2018-06-28,TLT,-0.023091914494840937,6,0,0,0
2018-06-28,VNQ,-0.008122727458016565,4,0,0,0
2018-06-29,DBC,-0.024321493055026067,6,0,0,0
2018-06-29,GLD,-0.022418909632539785,5,0,0,0
2018-06-29,QQQ,0.027964298311387692,2,1,1,1
2018-06-29,SPY,0.037046403465154754,1,1,1,1
2018-06-29,TLT,-0.014368673548167621,4,0,0,0
2018-06-29,VNQ,0.00601599593061386,3,1,0,1
2018-07-02,DBC,-0.017908741577530862,4,0,0,0
2018-07-02,GLD,-0.019751402289351017,5,0,0,0
2018-07-02,QQQ,0.02500018330689535,2,1,1,1
2018-07-02,SPY,0.033104977501225985,1,1,1,1
2018-07-02,TLT,-0.02163339019236865,6,0,0,0
2018-07-02,VNQ,0.018765470852986077,3,1,0,1
2018-07-03,DBC,-0.010989200977786329,4,0,0,0
2018-07-03,GLD,-0.03480830029245052,6,0,0,0
2018-07-03,QQQ,0.051112536936906094,1,1,1,1
2018-07-03,SPY,0.04241456690275269,2,1,1,1
2018-07-03,TLT,-0.025448850268875778,5,0,0,0
2018-07-03,VNQ,0.007107023543098556,3,1,0,1
2018-07-05,DBC,-0.013226038463624135,4,0,0,0
2018-07-05,GLD,-0.0346913462993943,6,0,0,0
2018-07-05,QQQ,0.04140620761072045,1,1,1,1
2018-07-05,SPY,0.038409541612345555,2,1,1,1
2018-07-05,TLT,-0.023404137939669334,5,0,0,0
2018-07-05,VNQ,0.006054118567456301,3,1,0,1
2018-07-06,DBC,-0.016027503392628817,4,0,0,0
2018-07-06,GLD,-0.038112054148032426,6,0,0,0
2018-07-06,QQQ,0.031490425076535544,2,1,1,1
2018-07-06,SPY,0.03347539050222115,1,1,1,1
2018-07-06,TLT,-0.026014520109446715,5,0,0,0
2018-07-06,VNQ,-0.0006021971865293185,3,1,0,0
2018-07-09,DBC,-0.013667340804804251,4,0,0,0
2018-07-09,GLD,-0.03827112991683734,6,0,0,0
2018-07-09,QQQ,0.02601691436598741,2,1,1,1
2018-07-09,SPY,0.027635751819354404,1,1,1,1
2018-07-09,TLT,-0.024800429067300067,5,0,0,0
2018-07-09,VNQ,0.005585285728228584,3,1,0,1
2018-07-10,DBC,-0.023401806088099608,4,0,0,0
2018-07-10,GLD,-0.033801367466165355,6,0,0,0
2018-07-10,QQQ,0.026505982032736908,1,1,1,1
2018-07-10,SPY,0.02352072852223075,2,1,1,1
2018-07-10,TLT,-0.023734877963434764,5,0,0,0
2018-07-10,VNQ,-0.0023023223569110796,3,1,0,0
2018-07-11,DBC,0.007688111274589016,3,1,0,1
2018-07-11,GLD,-0.02465149218739371,6,0,0,0
2018-07-11,QQQ,0.03111902263201638,1,1,1,1
2018-07-11,SPY,0.029653823586935246,2,1,1,1
2018-07-11,TLT,-0.019295621932476248,5,0,0,0
2018-07-11,VNQ,0.0014585383481360292,4,0,0,1
2018-07-12,DBC,0.0023532582723679862,3,1,0,1
2018-07-12,GLD,-0.0291204172690539,6,0,0,0
2018-07-12,QQQ,0.005906765442231787,2,1,1,1
2018-07-12,SPY,0.01356580323072265,1,1,1,1
2018-07-12,TLT,-0.012092298296922821,5,0,0,0
2018-07-12,VNQ,-0.009210836740500827,4,0,0,0
2018-07-13,DBC,-0.004697628539134802,3,1,0,0
2018-07-13,GLD,-0.03953746706697692,6,0,0,0
2018-07-13,QQQ,0.0039529799954334255,2,1,1,1
2018-07-13,SPY,0.008977382578522652,1,1,1,1
