Date,SPY,QQQ,TLT,GLD,VNQ,DBC
2018-01-02,,,,,,
2018-01-03,0.006325023340128855,0.009716544331663579,0.004781199282800852,-0.002636850395774437,-0.0029029762448546936,0.005991709256518929
2018-01-04,0.004214493300954247,0.0017495890598373531,-0.00015862263244947883,0.00512737855482448,-0.01722708318590216,-0.001191177626553408
2018-01-05,0.006664197381617498,0.010043169259084994,-0.0028553526012699004,-0.0010361649479244672,0.000493635945754356,-0.003577996461891386
2018-01-08,0.001828480907598129,0.0038905263877928586,-0.0006361768832533476,-0.00015961279955856167,0.005182042715623947,-0.0005982378109383735
2018-01-09,0.002263423710792134,6.160152272616237e-05,-0.013373237635275537,-0.0046284750854691525,-0.012888029478203888,0.006586648987530586
2018-01-10,-0.0015292845874345096,-0.0023376436888324914,-0.0012099749451767172,0.002405158456580736,-0.011191486222383973,0.003569415919493002
2018-01-11,0.00729568689999871,0.006844236299367701,0.004119776092653016,0.003279242310744168,-0.003395300953571101,-0.0005926307308087297
2018-01-12,0.006518994049463656,0.007348823636119883,0.001689230180298651,0.012117319941670202,-0.008075498026741124,0.006524141759866486
2018-01-16,-0.0034183483214599297,-0.0028571120980733777,0.004175798084774085,0.0016540570729914883,0.0019080839447593867,-0.004714371177878207
2018-01-17,0.009531786203268,0.01079131924361132,-0.0013590716051543605,-0.008099385028916384,0.006982961496755813,0.0011841921336543937
2018-01-18,-0.0016809872786984759,0.0001812900510700377,-0.009290306784417446,-0.002219746160232239,-0.012860509433716638,0.0
2018-01-19,0.004549761031655164,0.003135448440678479,-0.005253945947920946,0.004449368789751107,0.005364592457999473,-0.00177402045306696
2018-01-22,0.008131000126555099,0.010701299395107444,0.0009754060526723229,0.0018193589642852004,0.009147419851622374,0.002369653361011803
2018-01-23,0.0021223111586456955,0.008267621193569052,0.0043020933510318216,0.004974316982453653,0.01384871309790503,0.007092487476727749
2018-01-24,-0.00038835101179024445,-0.006489203797069409,-0.005415855518015378,0.012177899643490031,-0.005215633402129716,0.010563046258458275
2018-01-25,0.00042388702565920866,-0.00035636579916897837,0.008208777024821368,-0.006675468432262743,-0.001747463348575451,-0.005807033776867976
2018-01-26,0.011577909324531177,0.015325558385121951,-0.0037080051140476744,0.0007814808358339587,-0.003501306796699466,0.007593277633615614
2018-01-29,-0.0066299208168576484,-0.004855948544030153,-0.0069584312568254925,-0.005621994291566623,-0.013427005897251765,-0.0028984019324859167
2018-01-30,-0.010257310913029505,-0.008230536411593992,-0.005866275381425257,-0.004318770545372663,-0.007249717230296215,-0.006976830968887016
2018-01-31,0.0004967195467171504,0.004149467873186596,0.00590089163676244,0.006703457836465088,0.017936778285642774,0.0011709528405843272
2018-02-01,-0.0011346986492898337,-0.008500608876578553,-0.0144926070119481,0.003290292152912322,-0.02152313140779072,0.009941458166287331
2018-02-02,-0.021770131165292694,-0.019945445356265745,-0.009279106000596005,-0.013117887393550687,-0.00848928541210825,-0.016213050989715816
2018-02-05,-0.0418224119368672,-0.0394266508911294,0.009449712362576967,0.002531843471552664,-0.029709466206156998,-0.009417245523405726
2018-02-06,0.019702175936715305,0.026498955606878205,-0.00621330287036892,-0.010496423649786535,0.0001336373659326373,-0.005941867261881062
2018-02-07,-0.005424789383993489,-0.012937596035168308,-0.009503050791330514,-0.004705665583148222,-0.0042782766768862945,-0.011356638694398846
2018-02-08,-0.037508881216122614,-0.04219496284291768,-0.0010943019802605036,0.0015225774502147793,-0.028732635840788556,-0.010278115972906732
2018-02-09,0.015021240169662997,0.017269611224974613,-0.006319048844671937,-0.0016803225174144565,0.02502069372240312,-0.014661146858297114
2018-02-12,0.0146847145952953,0.01774485639148149,0.004409212762982007,0.004808897328354433,0.0004047966887956722,0.006199659368750998
2018-02-13,0.002487539110154424,0.00516164308825906,0.00447393785954997,0.0056632293923437604,0.0070098215503227035,0.0018484172731623172
2018-02-14,0.013496345470259463,0.01872342167211838,-0.011093336717382662,0.017052616317100977,-0.007229113975206536,0.015375196502430244
2018-02-15,0.012759536695685192,0.01856435104680476,0.003399553904691155,0.001169844500285011,0.00970907681825306,0.0018172057828917954
2018-02-16,0.00029316031646842156,-0.0044659265070571275,0.0054201855037276925,-0.003271582663696204,0.005475277400009748,0.0018135685370956889
2018-02-20,-0.0062613310833615765,0.0020003204884853076,-0.00437996069320401,-0.013441710167313103,-0.011820939209581716,0.0030175508918133254
2018-02-21,-0.0049739253301173125,-0.0028432833967463322,-0.012268719225317692,-0.004594377467322608,-0.01975781977781199,-0.0012033619203619672
2018-02-22,0.00129612735250495,-0.00012131083684752131,0.0029978816826743415,0.005093103382117992,0.011380610275003367,0.009036156040313159
2018-02-23,0.01593897635132291,0.020448728719185016,0.008882277704148622,-0.0012668539845070992,0.015997660272372816,0.006567392427541119
2018-02-26,0.011612480120338553,0.013260545504741872,0.00033857424190752994,0.0024575674654647717,0.0028024470970009485,0.005337976743297501
2018-02-27,-0.01248672799342232,-0.012382974602672236,-0.001438535416623976,-0.01043890649807222,-0.02328671758825762,-0.010029567548728524
2018-02-28,-0.010130122784734463,-0.006417055619711398,0.006355752850044194,-0.0010388975966705294,-0.0006813404541574641,-0.010727122682541612
2018-03-01,-0.014540513840298308,-0.01632696366537645,0.006826446554494048,-0.0022399902343750444,0.000954541284285737,0.0018071496641205442
2018-03-02,0.005155029738463934,0.009180643317438397,-0.00812950734691631,0.005372018620811936,-0.0004088927608063564,0.0
2018-03-05,0.01155785434392409,0.011084936928992928,-0.0027039133650714753,-0.0016747674096407872,0.011309566955548744,0.006013259817510885
2018-03-06,0.002535124108537845,0.004230449220125054,0.0009322843667836089,0.010784458146907872,0.004715701726145882,0.003586551816278094
2018-03-07,-0.00036619110741364924,0.00231392220846649,-0.0011006751887158162,-0.006401624645603676,0.006168478858665782,-0.01072073300757903
2018-03-08,0.004838747297286838,0.005505142154228926,0.005762380687122759,-0.0023862794212923255,0.0018661269905180244,-0.006020499484613029
2018-03-09,0.01740261253282327,0.019428066680377443,-0.00657149600787843,0.0009568071147663115,0.005454712409536988,0.009691172036580209
2018-03-12,-0.0012554445075499965,0.0053129259163535725,0.005767101607264236,0.0,0.004365947688374172,-0.001799763960723122
2018-03-13,-0.0064621980399161005,-0.013614445898303407,0.005059239508547808,0.0019117242474055995,0.0009220048392482028,-0.0030047211623641656
