date,ticker,ret_5d,ret_20d,ret_60d,ret_120d,vol_20d,vol_60d,downside_vol_60d,drawdown_20d,drawdown_60d,ma_ratio_20_60,ma_ratio_60_120,volume_chg_20d,risk_adj_ret_20d,risk_adj_ret_60d,asset_mean_ret_60d,rank_ret_20d,rank_ret_60d,rank_vol_60d,rank_drawdown_60d,z_ret_20d,z_ret_60d,z_vol_60d,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d,split,is_month_end_sample
2018-07-31,DBC,0.009362339426469912,-0.0034661174297568875,-0.02487271624464904,0.04292630815540521,0.010802860041624352,0.009625253301712265,0.007072859815836526,-0.05068343440265011,-0.09451386740951506,-0.02448905039166116,0.018836004029018527,-0.003598544395018166,-0.3208518314966257,-2.5841103049438043,-0.00037378742886651835,0.6666666666666666,0.8333333333333334,1.0,1.0,-0.5015939480469699,-0.7747458179678123,1.5141941722034657,0.008115759232650399,5,0,0,1,train,True
2018-07-31,GLD,-0.00043091219720192697,-0.01251490917896203,-0.06865266572108908,-0.07051849496911788,0.0055058382054631455,0.005049606664921346,0.0037842963901450304,-0.029374737349371793,-0.0761303623267583,-0.027899510427450314,-0.02253765420816478,-0.051808934545589325,-2.273025234658033,-13.595646211021949,-0.0011720969712986965,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,-0.9648957717427171,-1.5253762581338624,-1.108039604687859,-0.015432373036420532,6,0,0,0,train,True
2018-07-31,QQQ,-0.02135329956210308,0.021122422508778937,0.07252794217441205,0.10551487112734659,0.00993355614802963,0.008294297501566454,0.004918790355560934,-0.04217258646342126,-0.04242606415783734,0.024392592484651532,0.03098253928558581,0.012692137165592143,2.126370676725744,8.744314049588224,0.0012015266014840365,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.7573493132497708,0.8952400996931418,0.7514435640971779,0.05831675432453998,1,1,1,1,train,True
2018-07-31,SPY,-0.0009941845059211474,0.03483422592035268,0.06230076161703546,0.05998054001806108,0.005442625217657722,0.005592876970769465,0.0030367664273055327,-0.014295516863594093,-0.029974825507304237,0.016225547492372927,0.016004003741584283,-0.11609947228636674,6.400261735336587,11.139304859134807,0.0010231679334918617,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,1.4593992335938557,0.7198896679259121,-0.7966996217174666,0.0360791016293307,2,1,1,1,train,True
2018-07-31,TLT,0.0001668774234127035,-0.013597175078570278,0.010587327120027856,0.01848216307032846,0.005349090442137197,0.006096157007867802,0.0033035481455330933,-0.030142706651339335,-0.030142706651339224,0.010978347944983868,0.006576150841575812,-0.1520973509638086,-2.5419602127978993,1.7367215290491493,0.00019377603068115547,1.0,0.6666666666666666,0.5,0.3333333333333333,-1.0203082266769645,-0.16676457821195878,-0.5082774560058351,0.013288057321388935,4,0,0,1,train,True
2018-07-31,VNQ,0.017888775077139263,0.011604921794795553,0.06999181685057199,0.12115754688455138,0.007738847084142569,0.00724023959793752,0.003995584529454825,-0.030354313931461263,-0.03577342994361399,0.027406085150640358,0.03657522822439652,0.01033848657940073,1.4995672699845481,9.667058099915659,0.0011539365090447566,0.5,0.3333333333333333,0.6666666666666666,0.5,0.27004939962302493,0.8517568866945796,0.14737894611051774,0.028313218756209846,3,1,0,1,train,True
2018-08-31,DBC,0.009878046854112643,0.01282056338642934,-0.02687559499978176,0.047619086472899363,0.008027327216948212,0.009992110701866123,0.007392069351468867,-0.040992883089562726,-0.07206690458531728,-0.008084423686731235,-0.006922736311934741,-0.24495445288587003,1.5971148353540514,-2.6896814698782796,-0.00040446338845353174,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,-0.10748361577707223,-0.7393370343180246,1.5971002340177103,0.05696198752449133,1,1,1,1,train,True
2018-08-31,GLD,-0.005693776322947319,-0.012269370476685748,-0.07610286853061676,-0.09755125427053202,0.007889628895730959,0.006248394444693479,0.004327877837852434,-0.0331564273480619,-0.09952989992432959,-0.028729918920557873,-0.03403331901735418,-0.0017017427880250402,-1.5551264373568503,-12.179587765181502,-0.001299138091188985,1.0,1.0,0.5,1.0,-1.6666389651400297,-1.5879187375993256,-0.28660051098905126,0.003171532055117998,3,1,0,1,train,True
2018-08-31,QQQ,0.022851785074885056,0.03648395196486143,0.07234716570139099,0.09110111729182835,0.005645265701064383,0.00804314216756898,0.004951620651388379,-0.015328182878732721,-0.04242606415783745,0.02095000533152147,0.039074751978982025,-0.17038434776890987,6.462751958332552,8.994888340169393,0.0011967089265661494,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,1.3630224081688969,0.9710688695826607,0.6164507328659026,-0.003030973257422409,4,0,0,0,train,True
2018-08-31,SPY,0.009738964377437043,0.02365977445568701,0.05135210343455876,0.058042471720968214,0.004519676015764396,0.004938970467603372,0.0028122982000315854,-0.013306386128738246,-0.029974825507304237,0.02083766959027189,0.024576439942485928,-0.118622620262128,5.234838597537288,10.397329518651139,0.0008469662240071287,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5660938441600432,0.6091551493818891,-0.9454546419474608,0.008851883045766895,2,1,1,1,train,True
2018-08-31,TLT,-0.01054834225270651,0.014930631705288633,0.013805208728945084,0.026572208594998425,0.004256162145821212,0.004743664791315506,0.00295259789740003,-0.011693456032911387,-0.03279206379984534,0.002276963985338387,0.008327410278678338,-0.09650615216777536,3.508003500277318,2.9102412030080744,0.0002396163012698815,0.5,0.6666666666666666,0.16666666666666666,0.5,0.02364165242091664,-0.038079718140396665,-1.043725296734036,-0.02987988219146609,5,0,0,0,train,True
2018-08-31,VNQ,0.007551879949189599,0.011675589827448096,0.06155954715490819,0.12732391024080125,0.006024696637559247,0.006941668321741238,0.003610777372540606,-0.016632481715854963,-0.030354313931461263,0.01729791191536556,0.0395125730337631,-0.2311866584218556,1.93795480998329,8.868119924731104,0.0010198274092068952,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.17863532383275485,0.7851114710931967,0.06222948278693417,-0.03786346376079619,6,0,0,0,train,True
